METRIC	VALUE
assembly.assembled	0
assembly.withheld	2
build.effectiveModules	1
build.externalPomsAcquired	56
build.modules	1
build.problems	9
capabilityGaps	82
classpath.artifacts	257
classpath.problems	139
decoding.decoded	44
frontend.observations	0
frontend.runs	0
ownership.owned	44
ownership.unowned	0
repository.files	52
repository.javaFiles	44
